id	title	description	google product category	product type	link	image link	additional image link	condition	availability	price	sale price	sale price effective date	brand	gtin	mpn	identifier exists	gender	age group	color	size	material	pattern	item group id	tax	shipping	shipping weight	multipack	adult	online only	excluded destination	expiration date	loyalty points	adwords grouping	adwords labels	adwords redirect
180	Aluminum radiator for laser module heat sink Inner hole 12mm	Aluminum radiator for laser module heat sink Inner hole 12mm[Specifications]Name: Radiator (For laser module)Material: AluminumSize: L 46mm x W 22mm x H 27mmDiameter(Inner hole): 12mm	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-180.html	http://civillaser.com/images/aluminum%20radiator%20heat%20sink%20(1).jpg		new	in stock	9			CivilLaser		C180	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
179	650nm 100mW Red Crosshair laser module --22*110mm	"SPECIFICATIONS:Name: 650nm 100mW Red Crosshair laser module?Output Wavelength: 650nmOutput Power: °‹100mW £®can be customized£©Laser Shape: CrosshairLaser type: Visible laser, Red colorOutside Color: Black?Size: ¶’22*110mm £®can be customized£©Current: °‹160mA ?£®Determined by the different tube core and power£© ? ? ??Operating Voltage: ?DC2.8-5VOperation mode: continuous laserIncentives: electric excitation laserWorking medium: semiconductor laserOperating Temperature: -10--60°ÊStorage Temperature: -40°Ê~80°ÊLine width£∫1.2m £®can be customized£©Warranty: 12 Months Factory warrantyWork life: more than 8000 hoursStructure Features: high quality laser diode + metal shell + High quality lens + constant power circuit board + WirewayPackage includes:1* Red Cross-hair laser module£ª1* Laser stand£ª1* Power supply;This is the upgraded version of laser spot, the advantages of this laser module are:1, The large size, beneficial to the heat dissipation, increase life exp"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-179.html	http://civillaser.com/images/fz-650nm-100mw-crosshair.jpg		new	in stock	68			CivilLaser		C179	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
178	405nm 150mW 300mW Blue-violet Laser Module with TTL  Industrial-grade	"405nm 150mW 300mW Blue-violet Laser Module with TTL ?Industrial-gradeSuch products can be widely used in various stage laser light, with TTL modulation, The working time is very long and continuity, Industrial-grade laser module. Can provide a solution for the customers, designed to meet customer demand for laser module.Specifications:Host size: 74mm* 30mm* 30mmCircuit size: 71.5mm* 35mm* 20mmOutput wavelength: 405nmOutput power: 150mw/300mw (Choice)Heat dissipation method: Aluminum heat sink + ?cfan?Characteristics: The working time is very long and continuity.Modulation: TTL modulation?Modulation frequency: 1Hz-20KHzModulation voltage: ?0 - 5VSurface treatment: BlackShell material: AluminumControl: constant current circuitReverse connection protection: with automatic identification of positive and negativeWorking voltage: DC=12VWorking current: I&lt;180mAWarm-up Time: noWorking temperature: -10 °Ê ~ 40 °ÊStorage temperature: -10 °Ê ~ 40 °ÊStructure characteristics: laser tub"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-178.html	http://civillaser.com/images/405nm%20laser%20module%20civilaser.jpg		new	in stock	95			CivilLaser		C178	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
177	405nm 150mW 300mW Blue-violet Laser Module with TTL  Industrial-grade	"405nm 150mW 300mW Blue-violet Laser Module with TTL ?Industrial-gradeSuch products can be widely used in various stage laser light, with TTL modulation, The working time is very long and continuity, Industrial-grade laser module. Can provide a solution for the customers, designed to meet customer demand for laser module.Specifications:Host size: 74mm* 30mm* 30mmCircuit size: 71.5mm* 35mm* 20mmOutput wavelength: 405nmOutput power: 150mw/300mw (Choice)Heat dissipation method: Aluminum heat sink + ?cfan?Characteristics: The working time is very long and continuity.Modulation: TTL modulation?Modulation frequency: 1Hz-20KHzModulation voltage: ?0 - 5VSurface treatment: BlackShell material: AluminumControl: constant current circuitReverse connection protection: with automatic identification of positive and negativeWorking voltage: DC=12VWorking current: I&lt;180mAWarm-up Time: noWorking temperature: -10 °Ê ~ 40 °ÊStorage temperature: -10 °Ê ~ 40 °ÊStructure characteristics: laser tub"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-177.html	http://civillaser.com/images/405nm%20laser%20module%20civilaser.jpg		new	in stock	95			CivilLaser		C177	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
176	OSRAM PL-TB450 1400mW 1.4W 445/447/450nm blue laser diode cheap!	"OSRAM PL-TB450 1400mW 1.4W 445/447/450nm blue laser diode cheap!°æSpecifications°øPlace of production: German (OSRAM)Output Wavelength: 450nmOutput power: CW 1400mWOperating Current: &lt;1700mAOperating Voltage: 5VPackage Type: T018£®5.6mm£©?Working life: &gt;10,000 hoursNote:?This component sensitive to static electricity, anti-static measures do not make direct contact with the laser tube by human hand, in addition to the product must have a qualified driver circuit before work, different laser beam power with the same working voltage, but ?operating current is different, the circuit of the tube drive current needed to control in a safe range, otherwise it will affect life expectancy."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-176.html	http://civillaser.com/images/445nm-laser-diode.jpg		new	in stock	122	84		CivilLaser		C176	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
175	808nm 200mw IR laser diode PD sales  TO-18 5.6mm	"808nm 200mw IR laser diode PD sales ?TO-18 5.6mm°æSpecifications°øPlace of production: JapanOutput Wavelength: 8080nmOutput power: CW 200mWOperating Current: &lt;200mAOperating Voltage: 1.8-2.2VPackage Type: T018£®5.6mm£©?Working life: &gt;10,000 hoursNote:?This component sensitive to static electricity, anti-static measures do not make direct contact with the laser tube by human hand, in addition to the product must have a qualified driver circuit before work, different laser beam power with the same working voltage, but ?operating current is different, the circuit of the tube drive current needed to control in a safe range, otherwise it will affect life expectancy."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-175.html	http://civillaser.com/images/laser%20diode%20TO-18.jpg		new	in stock	5			CivilLaser		C175	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
174	Mitsubishi 660nm 100mw Red laser diode TO-18	"Mitsubishi 660nm 100mw Red laser diode TO-18°æSpecifications°øProduct Name: Red laser diodePlace of production: Japan (Mitsubishi)Output Wavelength: 660nmOutput power: CW=100mW Pomax=300mWOperating Current: &lt;200mAOperating Voltage: 2.5 - 3VPackage Type: T018(5.6mm) ?Working life: &gt;10,000 hours"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-174.html	http://civillaser.com/images/laser%20diode%20TO-18.jpg		new	in stock	24			CivilLaser		C174	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
173	808nm 1000mw/1W C-Mount Laser Diode High power IR laser	"808nm 1000mw/1W C-Mount Laser Diode High power IR laser°æSpecifications°øPlace of production: TaiwanOutput Wavelength: 808nmOutput power: CW 1000mWOperating Current: &lt;1200mAOperating Voltage: 1.7V - 2.2VPackage Type: C-MOUNT?Working life: &gt;10,000 hoursNote:?This component sensitive to static electricity, anti-static measures do not make direct contact with the laser tube by human hand, in addition to the product must have a qualified driver circuit before work, different laser beam power with the same working voltage, but ?operating current is different, the circuit of the tube drive current needed to control in a safe range, otherwise it will affect life expectancy."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-173.html	http://civillaser.com/images/808nm%201000mw%20laser%20diode%20c%20mount%20(1).jpg		new	in stock	48			CivilLaser		C173	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
172	Secondhand 2000mw 445nm laser diode NDB7875-E TO-5£®¶µ9mm£©	"Secondhand 2000mw 445nm laser diode NDB7875-E TO-5£®¶µ9mm£©°æSpecifications°øProduct: Blue laser diode (Secondhand)Place of production: JapanOutput Wavelength: 445nmOutput power: CW 1600mWPulse Power: &gt;3500mwOperating Current: &lt;1700mAOperating Voltage: 3.7V~5.5VPackage Type: TO-5£®¶µ9mm£©Operating Temperature: 0°Ê~50°ÊStorage Temperature: -40°Ê~85°Ê ?Working life: &gt;10,000 hours"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-172.html	http://civillaser.com/images/445nm%202000mw%20secondhand%20laser%20diode%20(1).jpg		new	in stock	105			CivilLaser		C172	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
171	New 1.6w 1600mw 445nm/450nm blue laser diode NDB7712 TO18	"New 1.6w 1600mw 445nm/450nm blue laser diode NDB7712 TO18°æSpecifications°øPlace of production: JapanOutput Wavelength: 445nmOutput power: CW 1600mWOperating Current: &lt;1800mAOperating Voltage: 5VPackage Type: T018£®5.6mm£©Operating Temperature: 0°Ê~60°ÊStorage Temperature: -40°Ê~85°Ê ?Working life: &gt;10,000 hoursNote:?This component sensitive to static electricity, anti-static measures do not make direct contact with the laser tube by human hand, in addition to the product must have a qualified driver circuit before work, different laser beam power with the same working voltage, but ?operating current is different, the circuit of the tube drive current needed to control in a safe range, otherwise it will affect life expectancy."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://civillaser.com/-p-171.html	http://civillaser.com/images/445nm-laser-diode.jpg		new	in stock	127	102		CivilLaser		C171	TRUE								AUS::0: 	AUS:024:Express:0 AUD		2							Laser Module	www.civillaser.com
